,title,tags
0,Tag versions,"['git', 'link', 'github', 'versions', 'nice']"
1,"Thoughts and proposals on conduct, diversity, and enforcement","['blob', 'records', 'expression', 'remote', 'public', 'back', 'defined', 'focus', 'difference', 'enumerate', 'language', 'let', 'which', 'effect', 'protection', 'protected', 'merge', 'homebrew-cask', 'homebrew', 'clear', 'act', 'communication', 'this', 'nor', 'orientation', 'set', 'https', 'policy', 'status', 'list', 'size', 'states', 'procedures', 'core', 'background', 'form', 'project', 'solution', 'projects', 'finalize', 'version', 'each', 'comments', 'report', 'extend', 'lines', 'basis', 'responsibility', 'communications', 'github', 'criteria', 'culture', 'edit', 'com', 'attributes', 'enforcement', 'internal', 'option', 'categories', 'disability', 'identity', 'code', 'collaboration', 'policies', 'face', 'effort', 'team', 'fuzzy', 'include', 'clause', 'wiki', 'repo', 'procedural', 'task', 'feedback', 'expect', 'strategies']"
2,bullying and cyber-bullying,"['behavior', 'irc', 'take', 'having', 'projects', 'feedback']"
3,Licensing,"['cc', 'apply', 'licensing', 'software', 'which', 's', 'maybe', 'documentation', 'http', 'nice', 'clear']"
4,v2 - Buffet-style sections,"['box', 'format', 'project', 'projects', 'd', 'this']"
5,Should README specify which version various projects are using?,"['list', 'which', 'break', 'versions', 'projects', 'version', 'code']"
6,Automate notifications of new versions,"['projects', 'version', 'get', 'this']"
7,German translation,"['blob', 'diff', 'translation', 'https', 'patch', 'master', 'github', 'com', 'version']"
8,Russian translation,[]
9,Code of conduct generator,"['javascript', 'language', 'contact', 'code', 'email', 'cut', 'e']"
10,Script to detect versions,"['search', 'q', 'address', 'this', 'generate', 'https', 'markdown', 'project', 'projects', 'collect', 'version', 'ref', 'sites', 'email', 'query', 'github', 'scrape', 'file', 'com', 'csv', 'code', 'using', 'notify']"
11,Traditional Chinese translation,[]
12,"Free software licensing and ""code of conduct""","['private', 'public', 'nose', 'implication', 'commit', 'alex', 'address', 'this', 'software', 'authorization', 'request', 'project', 'projects', 'explicit', 'version', 'osi', 'appearance', 'comments', 'free', 'licensing', 'rights', 'compatibility', 'email', 'responsibility', 'author', 'publishing', 'details', 'repository', 'file', 'edit', 'gnu', 'c', 'code', 'using', 'pull', 's', 'include', 'wiki', 'was', 'any', 'incompatibility', 'having', 'between', 'notice']"
13,Should we reword the bit about temporary or permanent removal of someone from a community?,"['point', 'sink', 'next', 'sort', 'help', 'd', 'this', 'temporary', 'action', 'out', 'ruby', 'project', 'projects', 'down', 'get', 'maybe', 'permanent', 'phrase', 'gets', 'option', 'bit', 'main', 'code', 'state', 's', 'm', 'gloss', 'far', 'open source', 'momentum']"
14,Version 1.4 Hungarian Translation,"['blob', 'diff', 'translation', 'https', 'patch', 'master', 'github', 'com', 'version']"
15,Russian translation for version 1.4,"['blob', 'diff', 'translation', 'https', 'patch', 'master', 'github', 'com', 'version']"
16,Version 1.4 French Translation,"['blob', 'diff', 'translation', 'https', 'patch', 'com', 'master', 'github', 'french', 'version']"
17,Version 1.4 Italian Translation,"['blob', 'diff', 'translation', 'https', 'patch', 'master', 'github', 'com', 'version']"
18,Slovenian translation for 1.4,"['blob', 'diff', 'translation', 'https', 'patch', 'master', 'github', 'com', 'version']"
19,Version 1.4 Japanese Translation,"['blob', 'diff', 'translation', 'https', 'patch', 'japanese', 'master', 'github', 'com', 'version']"
20,Encoding on Hungarian translation v1.3 is incorrect,"['translation', 'markdown', 'formats', 'encoding', 'http', 'html', 'version']"
21,"""is obligated to"" -> ""will""","['future', 'confidentiality', 'pull', 'wording', 'team', 'help', 'open', 'next', 'request', 'm', 'go', 'project', 'apply', 'where', 'version', 'this']"
22,"Clarify wording on ""use of sexualized language or imagery""","['expression', 'alternate', 'self', 'language', 'defined', 'clear', 'this', 'background', 'account', 'project', 'projects', 'where', 'www', 'rights', 'identify', 'phrase', 'com', 'either', 'posting', 'any', 'open source', 'http']"
23,What legal obligations does the Contributor Covenant place upon the maintainer?,"['point', 'response', 'language', 'standards', 'which', 'help', 'contract', 'against', 'material', 'html', 'instances', 'this', 'contains', 'action', 'software', 'process', 'share', 'addition', 'result', 'project', 'take', 'projects', 'points', 'contain', 'acceptance', 'creation', 'release', 'responsibility', 'github', 'edit', 'confidentiality', 'com', 'code', 'behavior', 'using', 'meetup', 'wording', 'team', 's', 'clause', 'm', 'promise', 'any', 'http', 'nyc', 'complete', 'between']"
24,Misunderstandings vs misbehavior,"['point', 'behavior', 'out', 'which', 'include', 'permanent', 'temporary']"
25,Migrate i18n to https://crowdin.com,"['comments', 'free', 'translation', 'https', 'translators', 'uniform', 'typography', 'save', 'tools', 'm', 'any', 'open source', 'add', 'com', 'dictionary', 'rules', 'service']"
26,Add CC BY 4.0 license info to downloadable contributor covenant files,"['text', 'download', 'viewing', 'which', 'requires', 'was', 'file', 'project', 'projects', 'notice', 'html', 'this']"
27,contributor covenant badge,"['next', 'flat', 'readme', 'https', 'markdown', 'll', 'visibility', 'project', 'version', 'badge', 'neat', 'repository', 'github', 'square', 'file', 'travis ci', 'shields.io', 'code', 'using', 'case', 'svg', 's', 'link', 'far', 'http']"
28,Navigation arrows cover content ,"['https', 'cover', 'cloud', 'assets', 'screenshot', 'arrows', 'navigation', 'com', 'text', 'png']"
29,Text hint in the search entry is hardly visible ,"['https', 'hint', 'cloud', 'area', 'assets', 'screenshot', 'background', 'search', 'com', 'text', 'orange', 'png', 'bit']"
30,"Site: license link is broken, text is outdated","['cc', 'express', 'claims', 's', 'link', 'repository', 'commit', 'text', 'version', 'this']"
31,Converting to Bootstrap,"['main', 'labels', 'using', 'css', 'basic', 'happy', 'dropdown', 'font', 'flags', 'navigation', 'add', 'presentation', 'this']"
32,Syntax highlighting for first code snippet under 'Describing the Snap' in '3. Building a snap is easy' is incorrect,"['https', 'snapcraft', 'snappy', 'cloud', 'assets', 'yaml', 'png', 'syntax', 'gedit', 'com', 'highlighting']"
33,The location of snap-codelabs-code has been moved to https://github.com/ubuntu in github,"['https', 'localhost', 'code', 'fact', 'core', 'github', 'ubuntu', 'http', 'com', 'build', 'service']"
34,Tried to build and run on raspberry pi3,"['blob', 'time', 'application', 'service', 'this', 'scheduling', 'sh', 'status', 'process', 'result', 'request', 'exit-code', 'run', 'restart', 'syntax', 'string', 'code', 'main', 'build', 'localhost', 'state', 'install', 'server', 'systemd']"
35,Navigation menu/table of contents covers content (on Chromium Browser),"['user', 'localhost', 'which', 'enter', 'browser', 'documentation', 'link', 'ubuntu', 'http', 'chromium', 'firefox', 'edge', 'version', 'this']"
36,Bahasa Indonesia translation,"['translation', 'language', 'help', 'open', 'call', 'any', 'version']"
37,Allow specifying an email address in the document,"['insert', 'email', 'javascript']"
38,"Kink and consensual, adult sexual proclivities","['point', 'https', 'pull', 'language', 'public', 'wording', 'open', 'input', 'topic', 'get', 'github', 'add', 'com', 'this']"
39,"Revert ""A few fixes for the French translation""",[]
40,Support HTTPS,"['https', 'was', 'github', 'default', 'nice', 'this']"
41,Marathi Translation,"['https', 'language', 'com', 'standards', 'wiki', 'php', 'github', 'wikipedia', 'http', 'loc', 'www', 'code']"
42,Invisible tripwire feel could be avoided by rewording,"['behavior', 'less', 'reason', 'language', 'tripwire', 'include', 'invisible', 'was', 'this']"
43,Add failure to comply clause,"['point', 'blind', 'members', 'time', 'sort', 's', 'clause', 'm', 'turn', 'open source', 'project']"
44,"Hello,I would like to translate it to tamil language.","['confirmation', 'get']"
45,"please add target=""_blank"" to the <a> tag","['link', 'click', 'open', 'find']"
46,[query] Preferred copyright line,"['cc', 'lead', 'p', 'which', 'ada', 'package', 'let', 'readable', 'optional', 'html', 'd', 'this', 'https', 'line', 'url', 'form', 'project', 'text', 'where', 'version', 'footer', 'www', 'alice', 'fixed', 'details', 'file', 'got', 'block', 'code', 'case', 'find', 'was', 'link', 'any', 'http', 'required', 'notation']"
47,"[query] What is the status of ""1.4.1""?","['tags', 'https', 'status', 'release', 'www']"
48,Human Race(s?),"['blind', 'refer', 'which', 'views', 'implication', 'mean', 'history', 'this', 'observable', 'effects', 'where', 'classification', 'characteristics', 'e', 'appearance', 'translation', 'using', 's', 'word', 'traits', 'skin']"
49,request for a step-by-step guide for setting up codelabs on a hosting site ,"['templates', 'format', 'replicate', 'step', 'any', 'pace', 'tutorials']"
