s.no,Tweet,version1_tags,version2_tags,suggested_tags
1,"Hey Twitterverse: When you're looking to contribute to an #OpenSource project, what items make you really excited about a particular project vs. another? A good getting started guide? An obviously engaged community? An ambassador program? Inquiring minds want to know!",['contribute'],"[' when', 'contribute']","['program', 'items', 'contribute', ‘project’,’OpenSource']"
2,"RT @fresheventsfl: Companies like Microsoft,  Google and others have large DevRel teams, but does DevRel make a difference in the day-to-da…","['rt', 'microsoft']","['rt', 'microsoft']","['DevRel', ‘difference’,’microsoft’,’Google’]"
3,RT @Bitergia: Great article from @mary_grace about how effectively track the efforts and contributions of companies #DevRel teams. Basicall…,"['track', 'article']","['track', 'rt', 'article']","['track', 'DevRel', 'article']"
4,"RT @editingemily: It doesn’t matter what you believe, or what side you’re on, or what your experience has been. 

We learn from others. Thr…","['rt', 'learn']","['rt', 'learn']",[]
5,"RT @RohitGuha96: The Truth About DevRel &amp; How To Make It Work | OpenView 
https://t.co/6HZ55MgXRG 

@mary_grace thanks for your insights","['https co', 'https t co', 'rt']","['amp', 'rt', 'https', 'co']","['co', 'DevRel', ‘https’,’insights']"
6,RT @ellenkorbes: Casually catching up on the latest issues of #DevRelWeekly (by @mary_grace) when suddenly... Surprise! I'm mentioned there…,['rt'],['rt'],[‘DevRelWeekly’]
7,@IAmJerdog Glad you’re finally on your way home!,"['glad', 'finally']","['glad', 'finally']",[]
8,@annthurium @mistermocha @zinczar #winning https://t.co/lVa5bwFsUI,"['https co', 'https t co']",[],"['co', 'https']"
9,"RT @OpenViewVenture: The real value developer relations teams provide is in the connections they make, so it's important to understand that…","['rt', 'connections', 'important']","['rt', 'connections', ' so', 'important']","[‘developer relations’,’ connections’]"
10,@zinczar Troutsers! https://t.co/OccZjqvHjX,"['https co', 'https t co']","['t', 'https', 'co']","['co', 'https']"
11,"RT @TheCR: ""Developer Relations"" have been buzzwords in the tech industry but what does the phrase actually mean? And how does it differ fr…","['rt', 'phrase', 'mean']","['rt', 'phrase', 'mean']","['developer relations', 'mean', ‘phrase’,’tech']"
12,"RT @remotesynth: Companies like Microsoft and others now have huge DevRel teams, but what difference does it make to you? @mary_grace will…","['rt', 'microsoft']","['rt', 'microsoft']","['DevRel', ‘difference’,’microsoft']"
13,@breanneboland I truly enjoyed both posts 👏 Thanks for taking the time to write it all out (and for doing the hard work that you wrote about 😊).,[],[],"['out', 'posts', 'write', 'time']"
14,@gitbisect 😔 Sending hugs and well-wishes. Let us know if there’s anything we can do to help?,['hugs'],"['gitbisect', 'hugs']","['let', 'help']"
15,"Best. Feeling. Ever. 

#AchievementUnlocked #WeHaveArrived 

😂😂

No but seriously... we exchanged very excited high fives on the way out the door. 🙌🎉😅 https://t.co/V3Q13DkL32","['https co', 'https t co']",[],"['out', 'co', 'https']"
16,@yashovardhan DM me your email address and we’ll figure something out 😊,"['dm', 'email address']","['dm', 'email address']","['figure', 'dm', 'email', 'address', 'out']"
17,"@alexfinnarn @yashovardhan thanks for the recommendation, @alexfinnarn! 😊 @yashovardhan - I’m so glad the newsletter has been helpful for you! Let me know if there’s anything I can do to help you get a copy of the book. Would an ebook copy work? 🤔","['book', 'recommendation', 'glad', 'newsletter']","['book', 'recommendation', 'glad', 'newsletter']","['help', 'let', 'copy', ‘newsletter’,’recommendation’,’ebook’]"
18,@dstevensio @DevRelians you got it!,[],[],[]
19,"@PeterKimFrank @bendhalpern @jessleenyc ahhh I freaking LOVE that analogy! It works particularly well for me considering I often need my office clean before I can truly focus on work. Maybe this is the same “cleaning” process, but for my mind.","['clean', 'focus']","['clean', 'focus']","['this', 'Clean', 'focus', ‘process’,’analogy']"
20,"tfw you're being über productive on everything except the thing you're supposed to be focusing on... 🙃

productive procrastination at its finest! 😏",[],[],"['except', ‘ber’,’productive']"
21,@zinczar what do you call pants that a fish wears?,"['pants', 'fish']","['pants', 'fish']","['fish', 'pants', 'call']"
22,"RT @adrianspeyer: Join me next Thursday, I'll be sharing how community can truly be part of your #CX &amp; not only be a buzzword. RSVP: https:…","['rt', 'join', 'sharing', 'https']","['rt', 'join', 'sharing']","['https', 'join', 'sharing', 'next', 'RSVP']"
23,RT @TwitterSRE: Many thanks again to @annthurium and @mary_grace for coming out and speaking last night! Truly an excellent array of topics…,"['array', 'rt']","['array', 'rt']","['array', 'out']"
24,@dstevensio I know a number of folks who would be interested! Do you have a link? I'm happy to include it in the #DevRelWeekly job listings as well as post it in the recruiting channel for @DevRelians.,"['channel', 'happy', 'listings']",['happy'],"['post', 'link', 'listings', 'include', 'channel', ‘job’,’DevRelWeekly']"
25,"RT @yashovardhan: Hey people!
I am looking for some nice resources to prepare myself for #DevRel interviews

Can you suggest me some?","['resources', 'rt', 'prepare']","['resources', 'rt', 'prepare']","['DevRel', 'prepare', 'resources']"
26,RT @IAmJerdog: Twitterverse... Looking for some video hardware to record meetups / workshops... Any ideas?,"['video hardware', 'rt', 'record']","['rt', 'video', 'hardware', 'record']","['any', 'hardware', 'video', 'Meetups', 'Workshops', ‘record’]"
27,@compiledwrong It was such a pleasure to get to know you this evening! 😊 I’ll be diving into Libby as well as Rien’s Rebellion ASAP. 🙌🎉,[],[],[]
28,@zinczar @annthurium @mistermocha @TwitterSF I was honored to speak! It was great to meet you afterward 😊,[],[],[]
29,"RT @zinczar: HUGE thanks to @mary_grace, @annthurium, @mistermocha &amp; @TwitterSF for a great #SRE #DevRel event. https://t.co/BMolyQAZmy","['https co', 'https t co', 'rt']","['amp', 'rt']","['co', 'DevRel', ‘https’,’event']"
30,"@ChrisShort @ember_dog Likewise! Sacrificing a few hours of work was totally worth it! 😅😜 Also, @ember_dog is the best foot warmer ❤️",[],[],[]
31,I’m so grateful for the fact that I’ve got “talk buddies” around the world 😁 It was so great supporting @ChrisShort during his talk this afternoon and he returned the favor for my talk tonight! #DevRelLife #Community 🤗 https://t.co/KG9MkBHppt,"['https co', 'https t co']",[],"['DevRelLife', 'https', 'fact', 'co', 'Community']"
32,RT @ChrisShort: I really appreciate this slide from @mary_grace. So much happiness. #DevRel https://t.co/Sduk4HW8pS,"['https co', 'https t co', 'rt', 'slide']","['rt', 'slide', ' so']","['DevRel', 'slide', 'https', 'co', 'rt']"
33,@annthurium @TwitterSRE Thanks so much 😊,[],[],[]
34,"RT @annthurium: ""Developer Relations is the connective tissue between companies and communities, as well as between teams in the company.""…",['rt'],['rt'],"['communities', 'Developer Relations']"
35,@bandarji @ember_dog Thanks! It was great chatting with you afterward as well.,[],[],[]
36,"RT @bandarji: Developer Relations:

""To the community, I represent the company. To the company, I represent the community.""

Great #DevRel…",['rt'],['rt'],"['community', 'DevRel']"
37,RT @KristinCMartin: SF Reliability Engineering meetup. @mary_grace talks Developer Relations #devrel (with @ember_dog!) #techmeetup #sf #sr…,"['sf reliability', 'rt', 'meetup']","['rt', 'sf', 'reliability', 'meetup']","['techmeetup', 'DevRel', 'Developer Relations', 'meetup']"
38,@compiledwrong 😊😊💖💖 this tweet made me smile so hard my face hurts.,['smile'],['smile'],[]
39,@jtviolet @shannonlucas @lyft @DevRelians DevRel Slack! 😊,['slack'],['slack'],"['DevRel', 'Slack']"
40,"Anyone who speaks on a regular basis, here’s a fantastic #ProTip from @annthurium. 

#DevRel #CMgr #speaking #TechTalk https://t.co/S4UajgEYPR","['https co', 'https t co', 'basis']",['basis'],"['https', 'DevRel', 'basis', 'co', 'techtalk']"
41,"Huge props to @annthurium for this amazing trick:

They just asked for a show of fingers for how familiar we all are with JavaScript (1 finger for “what’s JS?” and 5 for expert). They then said they’d use that info to know how in-depth their definitions needed to be. #BRILLIANT","['javascript', 'js', 'depth']","['javascript', 'js', 'depth']","['info', 'definitions', 'js', 'show', 'JavaScript', 'depth']"
42,Stoked to hear @annthurium talk about their experience with “Goldilocks projects” and @AtomEditor. Puns and dad jokes ftw! 🙌 This is my jam. 🍿 https://t.co/pOEk9PF80C,"['https co', 'https t co', 'jam']","['t', 'atomeditor', 'jam', 'https', 'co']","['AtomEditor', 'projects', 'https', 'jam', 'co']"
43,RT @Weinsteinlaw: If you’re more concerned with which politician is correctly using the phrase “concentration camp” than you are with under…,"['rt', 'phrase']","['rt', 'phrase']",[''phrase']
44,"Invest in people first, processes second, and tools third. By doing things in this order you set your team, and therefore your company, up for success. 👏👏👏
@ChrisShort #SwampUp19",['processes'],['processes'],"['processes', 'set', 'Tools', 'TEAM']"
45,"Learning that failure can be a GOOD thing is a huge pivot point in our careers... in our lives! Being willing to not only run the risk of failure but learn from it when it does happen can be life changing. 

@ChrisShort #SwampUp19 https://t.co/KRYIIBRrOJ","['https co', 'https t co', 'pivot', 'learn']","['pivot', 'learn']","['run', 'https', 'co', 'pivot', 'point']"
46,"That thing where you know something doesn’t work, but the leadership feels compelled to continue down that path anyway... 😳😳

@ChrisShort #SwampUp19 https://t.co/wEo5OhoFd8","['https co', 'https t co', 'path', 'continue']","['path', 'continue']","['https', 'down', 'path', 'co', 'where', 'continue']"
47,"T-2.5 hours until the @TwitterSRE meetup tonight! If you don’t yet have plans for tonight, be sure to join @annthurium (speaking about my fave text editor, @AtomEditor) and I (talking about why you should care about DevRel if you’re technical). Hope to see you there! https://t.co/bWCIE3SuE3","['https t co', 'https co', 'meetup', 'join', 'text editor']","['t', 'meetup', 'join', 'text editor', 'atomeditor', 'https', 'co']","['https', 'join', 'DevRel', ‘text editor', 'co', ‘meetup’,’AtomEditor']"
48,".@ChrisShort talking about that moment when you know that things aren’t as they seem at your new job... #SwampUp19 

The chuckles around the room are telling... 😅 https://t.co/65abGjFGYH","['https co', 'https t co']",[],"['co', 'job', 'https']"
49,"Hanging out at #SwampUp19 this afternoon. Already ran into @sascha_d @LeonStigter @jbaruch and of course, @ChrisShort, whose talk I’m sitting in now! 🙌 https://t.co/18sH40gFYs","['https co', 'https t co']",[],"['this', 'https', 'co', 'out']"
50,@davidgsIoT @rainleander awww not the same at all!! I know the feeling. Time for a reunion! 😁,['not'],[],['time']
51,"@ManekiDenise I'm curious about the premise that there are certain qualities that are ""unlearnable"" (Google Translate's version of the word 😅). I think some qualities might come easier to some than others, but I'd like to think that everyone can grow, striving to equip new qualities.","['google translate', 'word']","['google translate', 'word']","['word', 'translate', 'google translate', 'version']"
52,@FridayPush2Prod @Khatie @rickheaton @Phenteo Is there a link to the finished product? I'd love to watch!,['watch'],['watch'],"['link', 'product', 'watch']"
53,"@mz__kev A few things most companies will look for in a dev looking to turn dev advocate:
1) ability to translate technical topics into easy-to-understand concepts
2) empathy for customers
3) involvement in open source projects or community events (meetups, conferences, etc.)","['for in', 'turn', 'translate', 'open source projects', 'events']","['for in', 'turn', 'translate', 'open source projects', 'events']","['Events', 'projects', 'Open Source', 'translate', 'Empathy', 'turn', ‘Meetups’,’technical’,’community’,’conferences’]"
54,@mz__kev Absolutely! I'd look into companies that are adding Dev Advocates to their team rather than one that's building a Developer Relations team from scratch (aka you'd be a team of one). They'll be able to set you up for success to learn from other teammates who have more experience.,"['building', 'scratch', 'learn']","['building', 'scratch', 'learn']","['building', 'Scratch', ‘set','TEAM']"
55,"@ItS_Misan I don't know you, but saw your tweet while pulling together info for this week's DevRel Weekly newsletter and I'd love to hear more about what makes you think that! Happy to help in any way I can.","['newsletter', 'happy']","['newsletter', 'happy']","['info', 'happy', 'any', 'help', 'DevRel', 'newsletter']"
56,@bria_sullivan @MigMontemayor @techgirl1908 I'd love to hear more about this! I love that there are career workshops happening around Developer Relations.,['career'],['career'],"[‘’Workshops’,'Developer Relations']"
57,I'm excited to give this talk to a broad audience. No need to be in a particular location -- just in front of your very own computer in the comfort of your own office! Come learn about what #DevRel is and how it benefits you as an engineer. https://t.co/FBJxy7uMnP,"['https co', 'https t co', 'audience', 'learn']","['audience', 'learn']","['https', 'DevRel', 'co', 'computer', 'audience', 'location']"
58,@ChrisShort @FunnelFiasco @mike_julian @alexellisuk @PreciselyAlyss @IAmJerdog @QuinnyPig @garethr I mean... are we talking how many RSS feeds? Or how many websites those RSS feeds compile? 😅,"['rss feeds compile', 'rss feeds', 'mean', 'websites']","['mean', 'rss', 'feeds', 'websites', 'compile']","['rss feeds compile', 'rss feeds', 'mean', 'websites']"
59,"@ChrisShort @FunnelFiasco @mike_julian @alexellisuk @PreciselyAlyss @IAmJerdog @QuinnyPig @garethr As far as analytics go, I've been struggling to figure out which pieces were most effective and why. e.g. Do I go based on engagement that the person got on their article/podcast/tweet? Or the number of click-throughs I got on the newsletter?","['analytics go', 'go', 'article podcast', 'newsletter']","['go', 'e', 'analytics', 'article', 'podcast', 'newsletter']","['figure', 'article', 'Go', 'podcast', 'got', 'click', 'analytics', 'out', 'newsletter', 'engagement']"
60,@ChrisShort @FunnelFiasco @mike_julian @alexellisuk @PreciselyAlyss @IAmJerdog @QuinnyPig @garethr I'm guessing he was joking 😉 I do understand the sentiment tho! The reading/sorting/filtering takes so much time every week. Being able to increase the filtering via Zapier has gone a long way for me.,"['sorting filtering', 'long', 'filtering', 'zapier']","['long', 'sorting', 'filtering', 'zapier']","['filtering', 'zapier','sorting', ‘time’,’ sentiment’]"
61,@ChrisShort @mike_julian @alexellisuk @PreciselyAlyss @IAmJerdog @QuinnyPig @garethr How do you find the content that is newsletter worthy? That's where my RSS feeds &gt; Zapier &gt; Pocket come into play.,"['rss feeds', 'newsletter', 'zapier', 'pocket']","['newsletter', 'rss', 'feeds', 'zapier', 'pocket']","['rss', 'feeds', 'zapier', 'pocket', 'find', 'newsletter']"
62,"Issue 69 of #DevRelWeekly is out! Articles from @krunchdata &amp; @DeveloperModeCo in addition to tweets from @bitandbang @jonobacon @iam_lizzyfierce and a #DevRelCon recap from @devrel_net among other things. Check it out &amp; subscribe here: https://t.co/xnykVU5yBa

#DevRel #CMgr","['https co', 'https t co', 'addition', 'tweets', 'subscribe']",[],"['https', 'tweets', 'DevRel', 'co', 'out', 'subscribe', 'addition']"
63,"@alexellisuk @ChrisShort @PreciselyAlyss @IAmJerdog @mike_julian @QuinnyPig @garethr One more piece that was hugely helpful for me (and that I'm now noticing is lacking in Evernote:

- If I _can't_ archive the articles in a separate list, I need to be able to sort by ""untagged"" articles to see which ones I still need to sift through for this week's issue.","['evernote', 'archive', 'sort', 'sift', 'list']","['evernote', 'archive', 'sort', 'sift', 'list']","['evernote', 'archive', 'sort', 'sift', ‘list’,’untagged']"
64,"@alexellisuk @ChrisShort @PreciselyAlyss @IAmJerdog @mike_julian @QuinnyPig @garethr I'm completely fine with paying for it! Freemium seems to be the way to go. I'd say my paying limit is probably $25/month, which is currently 5x what most of these platforms charge.","['go', 'month', 'limit']","['go', 'month', 'limit']","[‘Go’,'limit','Freemium']"
65,"@alexellisuk @ChrisShort @PreciselyAlyss @IAmJerdog @mike_julian @QuinnyPig @garethr must have:
- import via Zapien (pref) or IFTTT)
- ability to tag articles
- search (minimum title &amp; link) tho pref in-article
- bulk edit

nice:
- preview of article
- ability to archive articles
- multi-person login","['search minimum title', 'article bulk', 'import', 'ifttt', 'preview', 'archive', 'login']","['amp', 'article', 'ifttt', 'preview', 'minimum', 'title', 'bulk', 'archive', 'login', 'import', 'search']","['title', 'edit', 'search', 'login', 'article', 'minimum', 'import', 'link', 'archive', 'preview', 'ifttt', ‘bulk’,’ multi-person login']"
66,"@ChrisShort @PreciselyAlyss @IAmJerdog @mike_julian @QuinnyPig @garethr @alexellisuk It's not my favorite option but it looks like the only one that checks all the boxes right now  ¯\_(ツ)_/¯  I'm going to have to do some wrangling to import everything that I have in Pocket, but I think there's an IFTTT recipe that will work for that.","['favorite option', 'ifttt recipe', 'import', 'pocket', 'boxes']","['option', 'favorite', 'pocket', 'ifttt', 'recipe', 'boxes', 'import']","['option', 'pocket', 'recipe', 'import','favorite', ‘ifttt’,’boxes']"
67,"@ChrisShort @PreciselyAlyss @IAmJerdog @mike_julian @QuinnyPig @garethr @alexellisuk I honestly think I'm just going to move things over to Evernote for the time being. It can do Zapier integrations. I can share the notebook with others. I can view card snippets &amp; bulk edit. I can tag things &amp; search within items. It's available offline, and it syncs w/iOS.","['evernote', 'zapier', 'share', 'bulk', 'offline', 'ios', 'search']","['amp', 'evernote', 'zapier', 'share', 'bulk', 'offline', 'ios', 'search']","['move', 'evernote', 'zapier', 'share', 'edit', 'search','bulk', 'offline', 'view', 'ios', 'items', ‘time’,’sync’,’share’]"
68,@ChrisShort @PreciselyAlyss @IAmJerdog @mike_julian @pocketsupport @Pocket @QuinnyPig @garethr @alexellisuk happy to help however I can!,['happy'],"['pocket', 'happy']","['pocket', 'help']"
69,"@PreciselyAlyss @IAmJerdog @ChrisShort @mike_julian @pocketsupport @Pocket @QuinnyPig @garethr You can actually use Zapier to pull an RSS feed _from_ Raindrop, but I need to be able to import items from multiple RSS feeds _into_ Raindrop on a continual basis. There are lots of ppl asking for it, but it hasn't been implemented yet and no longer seems to be on the roadmap.","['ppl', 'rss feeds', 'zapier', 'import', 'basis', 'roadmap']","['ppl', 'pocket', 'rss', 'feed', 'feeds', 'basis', 'zapier', 'roadmap', 'import']","['rss', 'feed', 'feeds', 'zapier', 'ppl', 'pocket', 'basis', 'import', 'pull', 'roadmap', 'items']"
70,@raindrop_io Any thoughts or plans around these integrations? There are a bunch of Premium Pocket members who are now stranded because of their recent changes which broke our workflow. We're more than willing to pay... we just need the Zapier/IFTTT integrations.,"['zapier ifttt', 'bunch', 'pocket', 'workflow']","['bunch', 'pocket', 'workflow', 'zapier', 'ifttt']","['members', 'zapier', 'pocket', 'ifttt', 'workflow']"
71,"@IAmJerdog @PreciselyAlyss @ChrisShort @mike_julian @pocketsupport @Pocket @QuinnyPig @garethr I just found the reason why I (and likely others) can't use it -- there's no Zapier or IFTTT integration 😩 I'll keep digging... it's possible that among us we can figure out a way to build the integration ourselves using their API, but it's not a solution I can integrate today.","['ifttt integration', 'integration', 'integrate', 'build', 'no zapier']","['pocket', 'integrate', 'ifttt', 'integration', 'api', 'build', 'no zapier']","['figure', 'using', 'zapier', 'integrate', 'reason', 'pocket', 'integration','out', 'API', ‘build','solution']"
